,product_id,brand_name,product_title,mrp,price,product_rating,product_rating_count,product_tags
0,781070,Olay,Olay Ultra Lightweight Moisturiser: Luminous Whip Day Cream (non SPF),1999,1599,4.1,43,
1,739418,Olay,Olay Regenerist Whip Mini and Ultimate Eye Cream Combo,2198,1943,4.0,792,
2,6836720,Olay,"Olay Aha & Niacinamide Super Cream , Acne Mark & Spot Removal Cream - For All Skin Types",1999,1399,3.8,6,FEATURED
3,61305,Olay,Olay White Radiance Day & Night Cream for Brightening and Glow,2798,2378,4.0,55,
4,60541,Olay,Olay Total Effects 7 In One Anti-Ageing Day Cream Normal SPF 15,375,375,3.9,99,
5,575926,Olay,Olay Ultimate Skin Regimen Kit,2947,2947,4.1,920,
6,465454,Olay,Olay Eye Cream - With Niacinamide & Pentapeptides,1699,1444,4.0,771,
7,262993,Olay,Olay Total Effects Day Cream For Sensitive Skin - Niacinamide,899,764,4.1,575,
8,23694,Olay,Olay Total Effects 7 In One Day Cream Normal SPF 15 (Trial Size) 8gm,160,160,4.1,68,
9,785729,Nykaa Naturals,Nykaa Skin Secrets Tea Tree & Salicylic Acid Spot Patch,100,90,3.8,8212,BESTSELLER
10,784422,Nykaa Naturals,Nykaa Face and Eye Shield Mask,399,239,3.2,26,
11,784419,Nykaa Naturals,Nykaa Woman Washable and Reusable Face Mask - Tropical,299,299,3.6,664,
12,774771,Nykaa Naturals,Nykaa 3 Ply Mask With Face Shield,75,45,2.8,115,
13,5202105,Nykaa Naturals,Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Hair Oil + Shampoo + Massager Combo,1497,1048,4.0,319,
14,4315900,Nykaa Naturals,Nykaa Love Struck Tender Touch Shower Gel + Body Lotion + Perfume,1597,1118,4.0,6,
15,4283093,Nykaa Naturals,Nykaa Naturals Mini Shampoo,99,99,3.7,256,
16,4148779,Nykaa Naturals,Nykaa Naturals Charcoal & Bamboo Shampoo And Hair Wrap Combo,898,723,4.0,14,
17,4060539,Nykaa Naturals,Nykaa Naturals Clay It Cool Daily Detox Clay Mask + Perfect Glow Clay Mask for Supple Skin,1198,899,3.8,5,
18,4060531,Nykaa Naturals,Nykaa Naturals Glow Boosting Skin Potion + Anti- Ageing Skin Potion Face Oil,1398,1049,4.0,1,
19,4039424,Nykaa Naturals,Nykaa Naturals Calming Face Wash + Tea Tree & Salicylic Acid Spot Patch + Witch Hazel & AHA Sleeping Mask,414,311,3.8,8218,
20,3955548,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Anti-Dandruff Oil, Shampoo, Mask & Wrap Combo",2096,1362,4.0,449,
21,3955547,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Oil, Shampoo, Conditioner & Wrap Combo",1896,1232,4.1,759,
22,3955546,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Hair Oil, Shampoo And Hair Wrap Combo",1497,1048,4.0,319,
23,3955545,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Hair Oil, Shampoo And Hair Mask Combo",1597,1118,4.0,449,
24,3955543,Nykaa Naturals,"Nykaa Naturals Apple Cider Vinegar & Ginger Hair Oil, Shampoo And Conditioner - Anti Dandruff Combo",1397,978,4.1,761,
25,3955542,Nykaa Naturals,Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Hair Oil And Shampoo Combo,998,749,4.0,321,
26,3626216,Nykaa Naturals,Nykaa Love Struck Skip A Beat Body Lotion + Perfume,1198,779,3.9,10,
27,3494214,Nykaa Naturals,Nykaa Naturals 5 Shampoo Combo-Onion +Apple Cider Vinegar +Amla +Fermented Rice Water+Reetha,1995,1297,4.1,973,
28,3494211,Nykaa Naturals,Nykaa Naturals Reetha & Shikakai Shampoo For Dull & Brittle Hair - Pack Of 2,798,599,4.0,49,
29,3433811,Nykaa Naturals,Nykaa Vitamin C PM Regime with Skin Secret Rice Water & Vitamin C Sleeping Mask + Facial Ice Globes,3874,2905,3.9,76,
30,2809991,Nykaa Naturals,Nykaa Naturals De-tanning Face Wash + Face Scrub + Clay It Cool Daily Detox Clay Mask,987,691,4.0,2,
31,2809976,Nykaa Naturals,Nykaa Naturals Calming Face Wash + Face Scrub + Clay It Cool Oil Control Clay Mask,987,691,3.6,7,
32,2777822,Nykaa Naturals,Nykaa Naturals 4 Shampoo Combo-Onion+Apple Cider Vinegar+Amla & Curry Leaves+Fermented Rice Water,1596,1037,4.1,928,
33,2722174,Nykaa Naturals,Nykaa Naturals Anti-Pigmentation & De-tanning Face Wash Combo - Papaya +Sandalwood & Orange Peel,278,195,3.8,27,
34,2722169,Nykaa Naturals,Nykaa Naturals Calming & De-tanning Face Wash Combo,278,195,3.9,8,
35,2722163,Nykaa Naturals,Nykaa Naturals Anti-pigmentation & Radiant Skin Face Wash Combo,278,195,4.1,21,
36,2722162,Nykaa Naturals,Nykaa Naturals Anti-pigmentation & Purifying Skin Face Wash Combo,278,209,3.7,9,
37,2722155,Nykaa Naturals,Nykaa Naturals Calming Face Wash + Nykaa Tea Tree & Salicylic Acid Spot Patch,239,203,3.8,8221,
38,2722154,Nykaa Naturals,Nykaa Naturals Calming Face Wash + Nykaa Clay It Cool Oil Control Clay Mask,738,517,3.3,6,
39,2722149,Nykaa Naturals,Nykaa Naturals Radiance Face Wash + Nykaa Tea Tree & Salicylic Acid Spot Patch,239,203,3.8,8219,
40,2722148,Nykaa Naturals,Nykaa Naturals Radiance Face Wash + Nykaa Clay It Cool Perfect Glow Clay Mask,738,517,4.0,4,
41,2722147,Nykaa Naturals,Nykaa Naturals Radiance Face Wash + Rice Water & Vitamin C Sleeping Mask Combo,314,220,4.0,3,
